mean,var,skew,target
21.331875,70.27895,13.032031,1
15.368003,34.855537,7.623043,1
36.210682,89.31593,8.035556,1
31.449022,72.25859,8.406602,1
14.888765,37.712982,10.468487,1
33.086452,83.529625,7.4584317,0
29.826633,59.885925,7.260869,0
30.096876,86.5492,11.218318,0
25.495506,90.93591,10.655739,1
16.332802,50.75499,9.515627,1
17.771433,71.17128,13.226196,1
35.49666,82.53719,7.5140867,1
38.340538,78.91866,7.452975,0
13.1696825,33.15031,13.651208,0
33.66062,96.44276,11.219043,0
20.94057,59.228928,13.385052,0
16.252508,43.742496,9.716206,0
20.945576,57.895866,10.844656,0
13.547447,43.588024,13.944711,1
27.360481,79.41584,8.950344,0
27.044773,55.501526,7.4064355,1
25.723715,74.85107,8.134299,1
10.826696,42.83325,11.403531,0
18.281738,49.333755,20.334257,0
33.087234,71.867546,9.704464,0
11.529461,48.053898,10.443215,0
13.226764,29.798433,9.583565,0
23.721966,67.73073,9.489173,1
18.893116,44.43702,18.534994,0
16.75005,55.580555,19.176085,1
8.302402,31.995132,17.63609,1
15.501702,48.646267,10.074297,0
19.605722,43.830406,6.7989435,1
17.552183,56.128906,12.020423,1
28.927752,70.94103,9.938895,1
17.771433,71.17128,13.226196,0
42.45061,85.09515,7.283187,0
22.136965,77.150604,15.495949,0
37.012035,77.4548,8.302368,1
28.907644,91.56267,10.87173,0
19.63206,61.613216,12.623297,0
15.460359,61.172966,9.718155,0
22.602547,57.24,10.386014,1
14.261263,38.79752,9.524605,0
10.737338,42.21758,11.951909,0
13.709827,33.09041,8.013326,1
28.535234,62.406414,10.77119,0
6.93244,27.640089,12.063025,1
38.070614,90.45998,8.444813,0
34.525364,83.452835,8.497542,0
16.26764,67.26625,15.661769,1
38.67147,78.493904,8.959659,1
19.525167,60.45212,13.9836855,1
17.293743,41.37969,14.704752,1
21.608303,65.827354,11.32792,0
18.823803,52.349934,12.867628,0
21.042286,44.540787,8.583603,0
31.510094,66.21056,9.405782,0
17.668736,46.650917,9.856035,1
16.070143,35.811584,10.70435,0
18.036545,75.090935,13.051343,1
18.91944,65.46499,16.235773,1
25.544834,80.428116,10.661252,0
9.610317,39.774277,12.885338,1
23.16585,66.6433,9.845355,1
16.473213,63.09999,10.23459,0
34.883793,81.269455,7.588426,1
36.83566,90.79065,8.025397,0
18.199938,60.750237,12.809412,0
18.40019,48.340176,9.186801,0
21.032768,63.777985,10.945501,0
18.972176,49.07179,9.953668,1
18.794111,61.36174,9.121797,0
19.344807,53.894085,13.794673,1
12.707251,26.977842,7.8311405,1
14.846448,45.973713,9.9916115,1
15.166621,38.41418,14.275262,1
26.372808,82.70163,11.169106,1
19.343355,80.775635,12.106382,0
30.73281,96.056854,9.621451,0
21.32338,63.340324,11.439502,0
28.997282,61.42344,8.045421,1
18.345589,71.86576,10.988298,1
28.265408,50.95968,6.4440374,0
43.029747,115.00806,6.0582833,0
21.306894,66.16615,10.112271,0
